position |    rank    |           player_name            | points | wins | loses | played | winrate
----------+------------+----------------------------------+--------+------+-------+--------+---------
       1 | general    | Peasy                            |   1923 |  119 |     3 |    122 |      97
       2 | general    | rashnagar206                     |   1914 |  863 |   153 |   1016 |      84
       3 | general    | ttvCriticalMeds                  |   1848 |  254 |    45 |    299 |      84
       4 | general    | Twizzy                           |   1831 |  185 |    40 |    225 |      82
       5 | general    | Sai                              |   1824 |   76 |    11 |     87 |      87
       6 | general    | Rambo                            |   1809 |  130 |    17 |    147 |      88
       7 | general    | DMraider                         |   1745 |  418 |   135 |    553 |      75
       8 | general    | AOD Gaming                       |   1735 |  305 |   158 |    463 |      65
       9 | general    | CandCRoadRunner                  |   1734 |  160 |    44 |    204 |      78
      10 | general    | HabnieZeit2020                   |   1732 |  111 |    20 |    131 |      84
      11 | general    | Chensen                          |   1731 |  224 |    50 |    274 |      81
      12 | general    | Za_BlackTemplar                  |   1729 |  121 |    12 |    133 |      90
      13 | general    | HHHXXX_ViciousK1d                |   1727 |  284 |   127 |    411 |      69
      14 | general    | Zen                              |   1712 |   84 |    12 |     96 |      87
      15 | general    | M3-Power-E36                     |   1697 |  166 |    40 |    206 |      80
      16 | general    | UncleDJ                          |   1679 |  480 |   109 |    589 |      81
      17 | major      | Hobbyspieler53                   |   1678 |  226 |   101 |    327 |      69
      18 | major      | Danku                            |   1671 |  281 |   133 |    414 |      67
      19 | major      | Aaron_                           |   1658 |  169 |    53 |    222 |      76
      20 | major      | rootbie                          |   1644 |  380 |   139 |    519 |      73
      21 | major      | Adam                             |   1639 |  296 |   159 |    455 |      65
      22 | major      | VanderSK                         |   1618 |  115 |    44 |    159 |      72
      23 | major      | magic2b                          |   1615 |  274 |   145 |    419 |      65
      24 | major      | TheHatefulBait                   |   1610 |  245 |    85 |    330 |      74
      25 | major      | TheDangerZone                    |   1608 |   52 |    15 |     67 |      77
      26 | major      | SiNA is OP                       |   1606 |   71 |    17 |     88 |      80
      27 | major      | MyGirlDickIsBiggerThanYours      |   1600 |   97 |    35 |    132 |      73
      28 | major      | Campaign Player                  |   1596 |   66 |    12 |     78 |      84
      29 | major      | AR7UR                            |   1571 |  106 |    58 |    164 |      64
      30 | major      | Minimeeeeeeeeeeeeeeeeeeeee!      |   1571 |   91 |    44 |    135 |      67
      31 | major      | killandfix                       |   1562 |  822 |   370 |   1192 |      68
      32 | major      | Hurt Me Plenty                   |   1560 |  101 |    52 |    153 |      66
      33 | major      | Phiddlun                         |   1555 |   33 |     3 |     36 |      91
      34 | major      | Burn15                           |   1554 |  763 |   468 |   1231 |      61
      35 | major      | Domero                           |   1553 |  198 |   108 |    306 |      64
      36 | major      | nightcrawler49                   |   1536 |  569 |   310 |    879 |      64
      37 | major      | KHANOMANCER                      |   1524 |  118 |    39 |    157 |      75
      38 | major      | Retired                          |   1513 |   31 |     3 |     34 |      91
      39 | major      | Ghosthit!                        |   1509 |  360 |   131 |    491 |      73
      40 | major      | PB&JAM                           |   1501 |   80 |    24 |    104 |      76
      41 | major      | ilikeit                          |   1493 |   34 |     7 |     41 |      82
      42 | major      | The Night                        |   1491 |   42 |     1 |     43 |      97
      43 | major      | Calamari                         |   1488 |   50 |    14 |     64 |      78
